date,open,high,low,price_close,volume,close
2022-11-16,0.82,0.82,0.82,0.82,254557,0.82
2022-11-15,0.82,0.82,0.82,0.82,199034,0.82
2022-11-14,0.82,0.84,0.82,0.82,232247,0.82
2022-11-11,0.8,0.83,0.8,0.82,270782,0.82
2022-11-10,0.8,0.8,0.79,0.8,263042,0.8
2022-11-09,0.8,0.81,0.8,0.8,139273,0.8
2022-11-08,0.8,0.8,0.8,0.8,153801,0.8
2022-11-07,0.8,0.8,0.79,0.8,382606,0.8
2022-11-04,0.79,0.8,0.79,0.8,262456,0.8
2022-11-03,0.79,0.79,0.78,0.79,214420,0.79
2022-11-02,0.78,0.79,0.78,0.79,254714,0.79
2022-11-01,0.77,0.78,0.77,0.78,245764,0.78
2022-10-31,0.79,0.79,0.77,0.77,256495,0.77
2022-10-28,0.81,0.81,0.79,0.79,250576,0.79
2022-10-27,0.8,0.81,0.8,0.81,215194,0.81
2022-10-26,0.81,0.81,0.8,0.8,229925,0.8
2022-10-25,0.81,0.82,0.8,0.81,216741,0.81
2022-10-24,0.83,0.83,0.81,0.82,245929,0.82
2022-10-21,0.83,0.84,0.83,0.83,252989,0.83
2022-10-20,0.83,0.84,0.83,0.83,223158,0.83
2022-10-19,0.84,0.84,0.84,0.84,256261,0.84
2022-10-18,0.85,0.85,0.84,0.84,213221,0.84
2022-10-17,0.84,0.85,0.83,0.84,231055,0.84
2022-10-14,0.84,0.85,0.84,0.85,242049,0.85
2022-10-13,0.85,0.85,0.83,0.85,236805,0.85
2022-10-12,0.84,0.85,0.83,0.85,286527,0.85
2022-10-11,0.84,0.84,0.83,0.84,228940,0.84
2022-10-10,0.84,0.85,0.84,0.84,229583,0.84
2022-09-30,0.83,0.84,0.83,0.84,268367,0.84
2022-09-29,0.84,0.85,0.83,0.83,256342,0.83
2022-09-28,0.85,0.85,0.84,0.84,252742,0.84
2022-09-27,0.83,0.85,0.83,0.85,260849,0.85
2022-09-26,0.85,0.85,0.84,0.84,286908,0.84
2022-09-23,0.86,0.87,0.85,0.85,285875,0.85
2022-09-22,0.86,0.86,0.85,0.86,255370,0.86
2022-09-21,0.85,0.87,0.85,0.86,254720,0.86
2022-09-20,0.86,0.86,0.85,0.86,247433,0.86
2022-09-19,0.86,0.86,0.85,0.86,302042,0.86
2022-09-16,0.89,0.89,0.86,0.86,294241,0.86
2022-09-15,0.88,0.89,0.88,0.89,346944,0.89
2022-09-14,0.89,0.89,0.88,0.88,255958,0.88
2022-09-13,0.89,0.9,0.89,0.89,259375,0.89
2022-09-09,0.88,0.9,0.88,0.89,265900,0.89
2022-09-08,0.88,0.89,0.87,0.88,240695,0.88
2022-09-07,0.88,0.88,0.87,0.88,281396,0.88
2022-09-06,0.87,0.88,0.87,0.88,271866,0.88
2022-09-05,0.85,0.87,0.85,0.87,272539,0.87
2022-09-02,0.85,0.86,0.85,0.85,282524,0.85
2022-09-01,0.85,0.86,0.85,0.85,308949,0.85
2022-08-31,0.85,0.86,0.85,0.85,293811,0.85
2022-08-30,0.85,0.86,0.84,0.85,231340,0.85
