date,open,high,low,close,volume
2010-02-22,2521.05,2535.487,2508.677,2509.519,755138000
2010-02-23,2507.287,2507.956,2461.786,2493.975,851287800
2010-02-24,2475.968,2529.343,2464.076,2527.359,1221538400
2010-02-25,2530.85,2557.589,2524.458,2555.031,1391699200
2010-02-26,2548.455,2561.112,2536.678,2540.479,990441100
2010-03-01,2543.374,2578.006,2543.055,2572.387,1110108600
2010-03-02,2577.471,2586.168,2548.975,2558.529,885439900
2010-03-03,2560.097,2576.021,2547.5,2574.322,1096556700
2010-03-04,2575.611,2581.173,2509.052,2517.644,1206225700
2010-03-05,2520.263,2533.08,2508.502,2522.244,790780700
2010-03-08,2530.133,2554.036,2521.288,2546.48,832332700
2010-03-09,2545.241,2578.271,2523.444,2560.494,962338100
2010-03-10,2558.715,2579.323,2537.482,2545.978,959925900
2010-03-11,2548.307,2566.38,2529.467,2551.102,980855600
2010-03-12,2551.072,2557.567,2512.222,2516.257,805666400
2010-03-15,2514.379,2516.075,2470.931,2482.21,724660700
2010-03-16,2481.764,2491.085,2465.825,2488.216,681974700
2010-03-17,2496.663,2531.762,2489.876,2530.858,894775000
2010-03-18,2533.915,2538.943,2515.228,2523.312,826939100
2010-03-19,2525.056,2541.248,2509.777,2539.145,728102000
2010-03-22,2540.057,2554.724,2533.258,2546.185,879375300
2010-03-23,2548.257,2554.184,2528.396,2530.817,1045347900
2010-03-24,2536.296,2549.54,2525.034,2530.279,1121858400
2010-03-25,2524.887,2524.887,2495.739,2504.949,960896300
2010-03-26,2504.288,2549.864,2497.738,2540.474,1148951300
2010-03-29,2552.837,2607.663,2549.164,2601.287,1851953200
2010-03-30,2602.962,2607.145,2588.138,2602.73,1074983100
2010-03-31,2601.862,2603.356,2577.945,2583.728,1005924800
2010-04-01,2587.336,2616.619,2587.336,2614.53,1135695500
2010-04-02,2623.014,2629.668,2613.586,2625.802,1149009400
2010-04-06,2639.867,2657.731,2623.879,2635.488,1110122800
2010-04-07,2634.627,2638.495,2605.374,2620.09,1023194700
2010-04-08,2615.996,2615.996,2581.795,2587.182,999204400
2010-04-09,2586.296,2604.912,2578.72,2602.351,964687000
2010-04-12,2607.733,2612.483,2565.868,2575.695,1206615100
2010-04-13,2573.869,2618.837,2563.661,2613.252,1323361900
2010-04-14,2616.965,2623.25,2604.077,2616.373,986274600
2010-04-15,2621.967,2632.646,2594.4,2615.932,1007361100
2010-04-16,2612.468,2612.468,2579.778,2585.584,783112100
2010-04-19,2550.584,2552.052,2452.841,2455.403,1652922500
2010-04-20,2456.14,2468.629,2427.523,2451.918,1066682000
2010-04-21,2456.871,2493.756,2435.615,2492.419,1087317500
2010-04-22,2479.382,2479.382,2438.507,2450.449,1337676100
2010-04-23,2447.827,2465.452,2424.669,2434.345,1039957500
2010-04-26,2438.103,2444.453,2413.31,2416.768,867475200
2010-04-27,2410.001,2411.194,2345.831,2372.176,1102743600
2010-04-28,2351.849,2380.733,2340.208,2371.284,770493400
2010-04-29,2382.086,2392.652,2350.747,2351.212,788546500
2010-04-30,2351.393,2364.207,2326.256,2362.998,1047219200
2010-05-04,2323.782,2352.752,2316.844,2334.995,691271100
2010-05-05,2314.117,2350.615,2284.031,2349.882,891892700
2010-05-06,2322.816,2322.816,2236.675,2240.776,937917300
2010-05-07,2187.251,2220.835,2165.795,2192.236,1187891200
2010-05-10,2191.037,2215.818,2163.267,2208.932,837642500
2010-05-11,2250.147,2256.515,2166.292,2177.007,1067198900
2010-05-12,2161.016,2208.38,2142.963,2206.513,1066550900
2010-05-13,2199.522,2252.731,2198.421,2250.128,1097944500
2010-05-14,2238.333,2249.7,2223.557,2236.85,713338500
2010-05-17,2207.356,2209.702,2130.685,2136.331,918216500
2010-05-18,2134.364,2178.154,2119.466,2170.786,797227300
2010-05-19,2160.14,2195.316,2133.643,2159.668,780671500
2010-05-20,2145.425,2185.078,2133.226,2137.924,674416500
2010-05-21,2085.957,2162.597,2079.194,2161.051,803653300
2010-05-24,2169.856,2237.903,2169.751,2231.368,1185995800
