date,close
2018-07-05,269.21
2018-07-08,269.02
2018-07-09,268.19
2018-07-10,268.94
2018-07-11,268.39
2018-07-12,267.9
2018-07-15,268.5
2018-07-16,267.47
2018-07-17,264.97
2018-07-18,266.19
2018-07-19,266.98
2018-07-22,268.37
2018-07-23,267.94
2018-07-24,268.53
2018-07-25,268.52
2018-07-26,268.41
2018-07-29,268.7
2018-07-30,268.71
2018-07-31,268.68
2018-08-01,268.04
2018-08-02,267.7
2018-08-05,267.59
2018-08-06,267.69
2018-08-07,267.1
2018-08-08,267.3
2018-08-09,266.91
2018-08-12,268.01
2018-08-13,265.6
2018-08-14,264.95
2018-08-15,261.74
2018-08-16,261.6
2018-08-19,262.78
2018-08-20,264.5
2018-08-21,264.28
2018-08-22,264.64
2018-08-23,264.33
2018-08-26,265.55
2018-08-27,266.24
2018-08-28,265.23
2018-08-29,265.54
2018-08-30,265.98
2018-09-02,265.45
2018-09-03,264.42
2018-09-04,263.91
2018-09-05,264.7
2018-09-06,265.48
2018-09-09,264.79
2018-09-10,265.38
2018-09-11,265.47
2018-09-12,266.33
2018-09-13,266.72
2018-09-16,265.75
2018-09-17,266.14
2018-09-18,266.35
2018-09-19,266.57
2018-09-20,267.22
2018-09-24,266.29
2018-09-25,266.97
2018-09-26,265.99
2018-09-27,263.88
2018-10-07,267.14
2018-10-08,266.67
2018-10-09,266.53
2018-10-10,267.43
2018-10-11,271.59
2018-10-14,273.43
2018-10-15,274.14
2018-10-16,273.46
2018-10-17,273.53
2018-10-18,275.32
2018-10-21,274.74
2018-10-22,274.91
2018-10-23,276.18
2018-10-24,277.84
2018-10-25,277.33
2018-10-28,277.23
2018-10-29,276.23
2018-10-30,274.2
2018-10-31,274.25
2018-11-01,274.99
2018-11-04,275.08
2018-11-05,274.92
2018-11-06,275.0
2018-11-07,274.25
2018-11-08,273.6
2018-11-11,271.42
2018-11-12,270.37
2018-11-13,270.04
2018-11-14,271.83
2018-11-15,272.46
2018-11-18,273.23
2018-11-19,274.13
2018-11-20,274.12
2018-11-21,274.78
2018-11-22,275.2
2018-11-25,274.76
2018-11-26,274.42
2018-11-27,272.75
2018-11-28,275.0
2018-11-29,274.77
2018-12-02,274.07
2018-12-03,274.04
2018-12-04,274.23
2018-12-05,275.68
2018-12-06,275.73
2018-12-09,278.27
2018-12-10,278.31
2018-12-11,277.17
2018-12-12,277.15
2018-12-13,277.07
2018-12-16,276.63
2018-12-17,278.06
2018-12-18,278.63
2018-12-19,278.4
2018-12-20,280.56
2018-12-23,282.02
2018-12-24,283.66
2018-12-25,283.84
2018-12-26,283.22
2018-12-27,284.1
2019-01-01,285.82
2019-01-02,287.67
2019-01-03,288.01
2019-01-06,286.16
2019-01-07,285.03
2019-01-08,283.65
2019-01-09,284.55
2019-01-10,282.8
2019-01-13,282.77
2019-01-14,282.3
2019-01-15,283.03
2019-01-16,283.08
2019-01-17,283.56
2019-01-20,282.14
2019-01-21,281.87
2019-01-22,282.34
2019-01-23,282.28
2019-01-24,281.8
2019-01-27,284.35
2019-01-28,285.88
2019-01-29,286.6
2019-01-30,286.49
2019-01-31,287.47
2019-02-10,287.5
2019-02-11,287.49
2019-02-12,287.32
2019-02-13,286.74
2019-02-14,288.06
2019-02-17,289.9
2019-02-18,290.73
2019-02-19,292.25
2019-02-20,290.74
2019-02-21,289.0
2019-02-24,288.58
2019-02-25,288.4
2019-02-26,287.85
2019-02-27,285.5
2019-02-28,284.73
2019-03-03,280.72
2019-03-04,279.98
2019-03-05,280.62
2019-03-06,280.01
2019-03-07,282.19
2019-03-10,283.79
2019-03-11,283.29
2019-03-12,284.61
2019-03-13,284.56
2019-03-14,284.22
2019-03-17,283.51
